JAYA_data = [
1.5570071714	0.0010000000	50.0000000000
2.0000000000	0.0499848149	187.6770722542
1.5570124476	0.0010000000	50.0000000000
2.0000000000	0.0010000000	117.3640044169
2.0000000000	0.0545992649	200.0000000000
2.0000000000	0.0545996433	200.0000000000
2.0000000000	0.0010000000	117.3638509291
2.0000000000	0.0402098468	166.4874713160
1.8063125384	0.1294683524	157.2573592468
2.0000000000	0.0010000000	117.3638822778
1.0856020535	0.4248344669	81.1395920345
0.7108875583	0.6633275608	155.8382705018
2.0000000000	0.0010000000	117.3633791329
1.8554304665	0.1202758404	190.0806777872
2.0000000000	0.0010000000	117.3711657529
1.7302109793	0.0010000000	62.4694387274
2.0000000000	0.0046279381	120.4673509931
1.7409734316	0.1762803502	193.3914772318
0.5000000000	0.7394261443	79.4271157936
1.0868113297	0.3584997712	57.9161509946
2.0000000000	0.0091476759	124.6252660777
2.0000000000	0.0010000000	117.3638865842
1.0795229770	0.4920046862	187.9381396500
0.5311960529	0.6724448527	51.0140227967
1.2927175043	0.1740473330	50.0000000000
2.0000000000	0.0010000000	117.3640911955
2.0000000000	0.0010000000	117.3545827991
1.5748725361	0.1055395342	65.1130642631
2.0000000000	0.0010000000	117.3642663108
1.6715412278	0.0010000000	57.3549532977
];
