,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.9559037183524963,0.7213870886286033,178.8892996818137,5.036787844652506e-11,1816.0
std,8.803408430829505,0.13293814968153828,0.17155267544874617,37.43798999502347,2.994429170753047e-11,1247.9655167649796
min,1.0,1.3151065342403285,0.036928012108804836,63.83523202778161,2.3933452602775527e-14,960.0
25%,8.25,2.0,0.7718553261402482,178.1203915016659,1.2822460471739067e-11,960.0
50%,15.5,2.0,0.7718553261402482,200.0,6.953303207246504e-11,960.0
75%,22.75,2.0,0.7718553261402482,200.0,6.953303207246504e-11,3540.0
max,30.0,2.0,0.8968694161152815,200.0,6.953303207246504e-11,3720.0
