run,a,Rs,Rp,fitness,nfes
1,1.5570071714221145,0.001,50.0,1.7064480128746067e-12,20020
2,2.0,0.04998481488698015,187.67707225415512,1.2966992453441229e-11,20020
3,1.557012447623974,0.001,50.0,9.859388344727003e-12,20020
4,2.0,0.001,117.36400441688362,3.328433741194343e-15,4380
5,2.0,0.05459926492929828,200.0,1.128677498328265e-11,20020
6,2.0,0.05459964331329764,200.0,8.646033469321999e-12,20020
7,2.0,0.001,117.36385092909195,1.3770251211370814e-14,20020
8,2.0,0.04020984679460233,166.48747131599075,4.956948676296461e-13,20020
9,1.8063125384207042,0.12946835235346196,157.25735924675914,9.558908485659334e-15,2420
10,2.0,0.001,117.36388227784221,6.657938263141999e-15,4340
11,1.0856020535131858,0.42483446693055915,81.1395920345124,4.1740024654738245e-10,20020
12,0.7108875583459479,0.663327560771276,155.83827050179053,3.638148649344295e-12,20020
13,2.0,0.001,117.36337913286512,4.295381221250145e-13,20020
14,1.8554304665235457,0.12027584042388839,190.08067778723705,1.1909987946924132e-11,20020
15,2.0,0.001,117.3711657529379,6.763509628372599e-11,20020
16,1.7302109792599363,0.001,62.46943872735061,3.217789659163247e-11,20020
17,2.0,0.004627938067545259,120.4673509930839,5.409442316696803e-13,20020
18,1.7409734316454493,0.17628035015980545,193.39147723178377,5.735690518810822e-11,20020
19,0.5,0.7394261442833379,79.42711579361328,1.3752757132242957e-12,20020
20,1.086811329653066,0.35849977124140575,57.91615099460829,7.126235296977807e-13,20020
21,2.0,0.009147675871085195,124.62526607770143,8.58846791306561e-14,20020
22,2.0,0.001,117.36388658422973,5.880609609481137e-15,2800
23,1.079522977048031,0.4920046862288888,187.93813964996252,7.953650967348518e-11,20020
24,0.531196052927017,0.6724448527293606,51.01402279669936,2.7545349895155343e-10,20020
25,1.292717504278047,0.17404733295459895,50.0,2.5121234569572308e-11,20020
26,2.0,0.001,117.36409119545677,2.4541004436500403e-14,20020
27,2.0,0.001,117.35458279910507,1.1422651108477017e-10,20020
28,1.5748725360827243,0.10553953418536874,65.11306426305454,2.8813255481795004e-13,20020
29,2.0,0.001,117.36426631075355,1.2699130142479954e-13,20020
30,1.6715412278090858,0.001,57.3549532976868,6.019621291286377e-11,20020
