,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.8628908643181474,0.033415609929094515,103.97039053779595,5.677487747368763e-11,5228.0
std,8.803408430829505,0.28155868521860905,0.07183082529983778,27.239929985680646,4.2595773406287985e-11,6198.637447608672
min,1.0,1.124907289283092,0.001,50.0,2.305535758998312e-13,1500.0
25%,8.25,2.0,0.001,117.35564725483256,2.305535758998312e-13,1500.0
50%,15.5,2.0,0.001,117.35564725483256,8.952647113706503e-11,4980.0
75%,22.75,2.0,0.001,117.36437487012269,8.974872019625511e-11,5520.0
max,30.0,2.0,0.3031308503594452,117.36759104993813,8.974872019625511e-11,32040.0
