,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.4572802000577172,0.208731449661108,93.03356679777296,1.4309656912132652e-10,40040.0
std,8.803408430829505,0.48621067592389844,0.2551698178408235,40.63882978640967,4.073343310027163e-10,0.0
min,1.0,0.5,0.001,50.0,6.021789365028411e-14,40040.0
25%,8.25,1.1664456464254178,0.001,50.48972378954863,4.254160992610126e-12,40040.0
50%,15.5,1.5570089323692162,0.043752867177701105,82.40917417687521,2.397994475718878e-11,40040.0
75%,22.75,1.8975309045864615,0.37222184731645575,117.36688205321742,4.893280166426641e-11,40040.0
max,30.0,2.0,0.74513288347763,182.53350117492604,2.169342892341368e-09,40040.0
