,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.5092315795424278,0.16535734376596764,89.92933615377753,5.824463376217137e-11,40020.0
std,8.803408430829505,0.3677755102957453,0.20669451514444104,39.40972303807511,8.453278340467331e-11,0.0
min,1.0,0.5934848661357559,0.001,50.0,1.1980690753247684e-14,40020.0
25%,8.25,1.2204305620873759,0.001,50.27941396321339,8.26740569275093e-12,40020.0
50%,15.5,1.5569919045393115,0.0717108933040465,87.05788459471835,2.0207955487908264e-11,40020.0
75%,22.75,1.7143345644796772,0.34050323222483847,117.36345942561942,8.122078100945859e-11,40020.0
max,30.0,2.0,0.6425101253144805,174.6899120135763,3.1405318826993615e-10,40020.0
