BMR_data = [
1.4688891450	0.0587704553	50.0000000000
1.1541851192	0.4137535210	100.3448196201
0.5934848661	0.6425101253	53.6518431466
1.5322467001	0.2053007957	91.9248762205
2.0000000000	0.0010000000	117.3588348275
0.8211103829	0.5961978037	117.5788868915
1.0590398835	0.4835130658	130.8259355517
1.1356389684	0.3938095495	78.9633805473
1.0202550564	0.3600955573	51.1176558529
1.6575020150	0.0010000000	56.2860450288
1.5569732603	0.0010000000	50.0000000000
1.5570130821	0.0010000000	50.0000000000
2.0000000000	0.0010000000	117.3607813382
1.9249398670	0.0010000000	93.0541882134
1.3866096397	0.1126390654	50.0000000000
1.6135217517	0.2250447405	160.5309181146
1.5569904215	0.0010000000	50.0000000000
1.5569761707	0.0010000000	50.0000000000
1.1650375362	0.3837914733	82.1908929689
1.0862396485	0.4837243207	167.5086715529
1.5569971944	0.0010000000	50.0000000000
1.6318449017	0.0010000000	54.4721403925
1.6356517974	0.0846513314	68.1981487554
1.9857057678	0.0010000000	111.6964734072
1.7332787476	0.1130604504	99.6851146727
2.0000000000	0.0010000000	117.3643521214
1.5084966599	0.2817262571	174.6899120136
1.8213254156	0.1081318008	135.7114344004
2.0000000000	0.0010000000	117.3647789752
1.5569933876	0.0010000000	50.0000000000
];
