BWR_data = [
2.0000000000	0.0010000000	117.3684460670
1.5961225044	0.1278981864	73.8150089239
2.0000000000	0.0010000000	117.3700614436
1.5243377508	0.0224515776	50.0000000000
0.6245614923	0.6688946885	76.6043254362
1.1756797438	0.4435932980	178.8765832551
1.3924322360	0.3039492687	112.9847722239
2.0000000000	0.0010000000	117.3666418619
1.8364348919	0.0636874758	102.2161620810
1.5570722683	0.0010000000	50.0000000000
0.8393707524	0.6035096488	168.1033136440
0.5000000000	0.6886979116	50.0000000000
1.5570090569	0.0010000000	50.0000000000
0.8537361538	0.5355340264	71.9007292097
0.8259153954	0.4892951469	51.9588951582
1.5570041187	0.0010000000	50.0000000000
1.5570223894	0.0010000000	50.0000000000
1.8117402829	0.0010000000	71.9433000977
1.3369873674	0.3669056273	182.5335011749
1.9178962421	0.0041789667	92.7955745609
0.5000000000	0.7451328835	87.4035855605
1.0434559154	0.3365457488	50.0000000000
1.8307786719	0.0785066331	110.6654189573
2.0000000000	0.0210969153	137.5124413954
2.0000000000	0.0238182585	140.9149372787
2.0000000000	0.0010000000	117.3669621170
1.5570088079	0.0010000000	50.0000000000
1.1663493608	0.3739939206	77.4147627932
1.1667345032	0.3505342023	68.1202673698
1.9907560960	0.0037191049	115.7713133232
];
