,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.1339482189023855,0.05401626752481766,81.52988349739488,1.7633506528119963e-11,4750.0
std,8.803408430829505,0.3019347573494497,0.1551861967111986,50.38439608685918,2.5569575813977594e-11,4940.095629396886
min,1.0,0.5,0.001,50.0,4.54790612358775e-13,900.0
25%,8.25,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900.0
50%,15.5,1.0273009578434464,0.001,50.0,2.2583355689511967e-12,900.0
75%,22.75,1.3202410003446576,0.001,104.96882026890822,2.912818755681833e-11,8760.0
max,30.0,1.671156061359765,0.5983015703372588,200.0,8.574053279916662e-11,14880.0
