run,a,Rs,Rp,fitness,nfes
1,1.3523637280522665,0.1350674895026781,50.0,8.952647113706503e-11,4980
2,1.3523637280522665,0.1350674895026781,50.0,8.952647113706503e-11,4980
3,1.3523637280522665,0.1350674895026781,50.0,8.952647113706503e-11,4980
4,1.3523637280522665,0.1350674895026781,50.0,8.952647113706503e-11,4980
5,1.3523637280522665,0.1350674895026781,50.0,8.952647113706503e-11,4980
6,2.0,0.001,117.36437487012269,2.305535758998312e-13,5520
7,2.0,0.001,117.36437487012269,2.305535758998312e-13,5520
8,2.0,0.001,117.36437487012269,2.305535758998312e-13,5520
9,2.0,0.001,117.36437487012269,2.305535758998312e-13,5520
10,2.0,0.001,117.36437487012269,2.305535758998312e-13,5520
11,2.0,0.001,117.36437487012269,2.305535758998312e-13,5520
12,2.0,0.001,117.36437487012269,2.305535758998312e-13,5520
13,2.0,0.001,117.36437487012269,2.305535758998312e-13,5520
14,2.0,0.001,117.36437487012269,2.305535758998312e-13,5520
15,1.124907289283092,0.3031308503594452,52.4754832091633,6.490705861938309e-11,32040
16,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
17,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
18,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
19,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
20,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
21,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
22,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
23,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
24,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
25,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
26,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
27,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
28,2.0,0.001,117.35564725483256,8.974872019625511e-11,1500
29,2.0,0.001,117.36585373084975,4.694312046969503e-12,17400
30,2.0,0.001,117.36759104993813,1.72042531245362e-11,13320
