,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.659336609151761,0.14274393587082543,118.14901774550518,3.9774556926949233e-11,17815.333333333332
std,8.803408430829505,0.4728712145850046,0.22687277414120016,50.454775466724655,9.017110289871796e-11,5726.356928987306
min,1.0,0.5,0.001,50.0,3.328433741194343e-15,2420.0
25%,8.25,1.5570084904725794,0.001,68.69157714569423,1.6727661477308716e-13,20020.0
50%,15.5,1.9277152332617729,0.02467876133284376,117.36394550055667,2.672298331109451e-12,20020.0
75%,22.75,2.0,0.1629025878043147,156.902587060517,3.041373108611743e-11,20020.0
max,30.0,2.0,0.7394261442833379,200.0,4.1740024654738245e-10,20020.0
