run,a,Rs,Rp,fitness,nfes
1,1.4688891449671568,0.05877045525670782,50.0,9.462850494424497e-12,40020
2,1.1541851191813022,0.4137535210019949,100.34481962014851,5.585706772386393e-13,40020
3,0.5934848661357559,0.6425101253144805,53.651843146607774,6.5856114971181875e-12,40020
4,1.532246700104669,0.20530079566940126,91.92487622052386,1.1980690753247684e-14,40020
5,2.0,0.001,117.35883482745787,3.4082481449276666e-11,40020
6,0.8211103828957114,0.5961978036700918,117.5788868914959,8.139417062873879e-11,40020
7,1.0590398835174966,0.483513065847188,130.82593555173435,8.070061215161799e-11,40020
8,1.1356389683503174,0.39380954946852464,78.96338054730597,3.3500130982820944e-11,40020
9,1.0202550563792936,0.36009555727804987,51.117655852853574,2.851598813945881e-10,40020
10,1.6575020150460167,0.001,56.28604502878875,7.868924092193073e-12,40020
11,1.55697326028921,0.001,50.0,1.0980350691097885e-10,40020
12,1.5570130820913217,0.001,50.0,1.1292727681866568e-11,40020
13,2.0,0.001,117.3607813382346,1.3090217612980756e-11,40020
14,1.9249398670367002,0.001,93.05418821338097,3.1405318826993615e-10,40020
15,1.3866096396973724,0.11263906544407978,50.0,4.5275754508572725e-11,40020
16,1.613521751692486,0.2250447404562256,160.53091811460285,1.1918857449329374e-11,40020
17,1.5569904215084225,0.001,50.0,2.0383240794891366e-11,40020
18,1.5569761707145495,0.001,50.0,8.962940608621216e-11,40020
19,1.165037536217377,0.38379147326184204,82.19089296891283,2.003267018092516e-11,40020
20,1.0862396484801453,0.4837243207443591,167.50867155294947,2.2747873561491436e-10,40020
21,1.5569971944389291,0.001,50.0,4.669909688538797e-12,40020
22,1.6318449017021885,0.001,54.4721403924708,1.0921025945132429e-10,40020
23,1.6356517973621778,0.08465133135138517,68.19814875537335,1.3086338662596607e-11,40020
24,1.985705767796671,0.001,111.69647340716051,2.3507096093586414e-12,40020
25,1.7332787476242306,0.11306045037081373,99.68511467271793,2.1474563932892568e-11,40020
26,2.0,0.001,117.36435212141437,2.0631330579109176e-13,40020
27,1.5084966598903418,0.28172625706520427,174.6899120135763,1.5824080607497451e-10,40020
28,1.8213254155827951,0.10813180077867912,135.71143440037275,2.2792905147806713e-11,40020
29,2.0,0.001,117.3647789752426,8.854830872029063e-13,40020
30,1.5569933875702004,0.001,50.0,1.2138204735276955e-11,40020
