algorithm,best_fitness,mean_fitness,std_fitness,mean_time,success_rate
JAYA,3.328433741194343e-15,3.9774556926949233e-11,8.865551423744309e-11,0.8883583784103394,100.0
BMR,1.1980690753247684e-14,5.824463376217137e-11,8.311196316497823e-11,2.1930426518122355,100.0
BWR,6.021789365028411e-14,1.4309656912132652e-10,4.00487888255874e-10,2.094523859024048,100.0
