run,a,Rs,Rp,fitness,nfes
1,2.0,0.6343876003216613,142.1325366977158,2.075915751429176e-11,40020
2,1.220739072094896,0.5496619643759564,65.8367378317918,1.789887453605824e-10,40020
3,1.4715724149780343,0.4487452510427914,71.08338781657864,3.556325087804801e-11,40020
4,1.0724784294898186,0.6588277367238002,64.03542814465308,1.0235674920476046e-11,40020
5,1.695851445279311,0.91492691525965,129.1789910043974,4.375358969640349e-12,40020
6,0.6233851880634869,0.001,61.485328544133495,2.757077676574708e-13,40020
7,1.7547707876286904,1.0,187.2553999915925,5.843236075819169e-11,40020
8,1.0594113019707714,0.9521333256278085,67.10410916586005,3.5753913553358145e-11,40020
9,2.0,0.5630065339949547,126.07960313319444,3.121887212087957e-13,40020
10,0.5,0.4830728548113993,61.00220136245778,4.431684999232253e-12,40020
11,1.0612799951406175,0.001,62.05675679438985,1.0174548844336474e-12,40020
12,2.0,0.38926836187169345,102.6603625025893,1.3954353193977916e-12,40020
13,0.579864375693318,1.0,60.65749920710157,6.298759310437312e-12,40020
14,0.9898742098942587,0.001,61.83105332337758,2.32084524973004e-12,40020
15,1.585924806457418,0.010380241990864514,67.65318666963464,2.486144541185867e-13,40020
16,1.3293281367282155,0.11752200138619268,64.36145960356848,1.450103361525812e-13,40020
17,1.6372769065336121,0.9786753407986907,128.94926381266083,4.189401069391258e-13,40020
18,1.6396301948038778,0.21095744858831703,71.88248635011257,1.1408908777008362e-11,40020
19,1.5659122023897223,1.0,116.1545207376021,6.859400751237789e-11,40020
20,1.599169027718162,0.001,67.81774676597507,4.259493015920235e-11,40020
21,1.7208693676140263,0.001,70.62791413592049,1.8090840354908142e-11,40020
22,1.4824880629390043,0.001,65.76442544780672,3.460756385222112e-12,40020
23,0.9515517452263409,0.733758200794219,62.7529878865418,1.4146428824570094e-11,40020
24,2.0,0.43815155687059937,107.76517629746844,5.37392877679468e-14,40020
25,1.8135149297371966,0.4194541448045679,87.53576780955774,3.820177917786323e-12,40020
26,1.9840224457739513,0.516605145301758,115.42506837796883,1.5931541266559032e-10,40020
27,0.5,0.001,61.48245473318598,5.60147298744118e-11,40020
28,1.545610244660406,0.9301255743960704,101.83982714855759,4.438838581621555e-13,40020
29,0.6482732254903918,0.7073964196472561,60.901435396443226,1.1683180362666374e-11,40020
30,1.743560083680471,0.09047618063454688,72.8448345518425,6.607643284271471e-12,40020
