run,a,Rs,Rp,fitness,nfes
1,2.0,0.37395479478939536,101.23129353603369,1.4471550258088764e-15,71320
2,1.0824985928173199,0.001,62.140530125935236,1.8966949511431734e-15,6360
3,0.689480163862604,0.7133443091430902,60.98145414388704,5.47492976910977e-15,79720
4,1.0258918915225559,0.9790872989560528,66.523078293807,4.0598543218501884e-16,36040
5,0.5186574424786018,0.2946533027129702,61.18880769852104,4.15548963669689e-18,19620
6,1.343391107123985,0.001,63.98361273890341,2.879024438464311e-15,161920
7,2.0,0.7718209881345711,200.0,3.70991883978018e-15,21920
8,0.5,0.11876409929743315,61.36322743547934,3.370874946396892e-15,93720
9,2.0,0.001,80.57678870051234,9.292829330799507e-16,19420
10,2.0,0.001,80.57674207300549,7.098218571546511e-15,25240
11,2.0,0.5319379188887995,120.60516688966631,2.4921129176499147e-14,200020
12,1.8327667640611838,0.48224489245314645,93.13981887734964,4.435044934549196e-14,200020
13,0.562995376734773,0.38999467948741473,61.09972677849585,1.9530537034109554e-15,7780
14,0.7339663601488018,0.4267957968766485,61.178333158258745,5.219260424275548e-15,15760
15,1.4659529732531953,0.001,65.51771477654322,7.59473542215127e-15,27980
16,0.5,1.0,60.530578901769616,1.1634933248433591e-16,5620
17,0.7305896523057039,0.001,61.506478220778455,1.184567574447351e-15,21880
18,1.9670288281456445,0.7208555055453069,158.26327520870908,6.049810811131826e-16,78460
19,1.861014175012416,0.001,74.90308656622207,1.1902931270139348e-15,123320
20,1.7730050045847237,1.0,200.0,4.589619486358402e-15,66680
21,0.5958853348359545,0.001,61.48325384780038,8.615711064259508e-16,11160
22,0.5,0.38378292357121957,61.099676484993466,1.2763083598373313e-17,84580
23,1.6183777834531656,1.0,129.06351917017997,4.618261350823758e-15,75400
24,1.767735358151318,1.0,196.13178940964409,3.8084364929583056e-15,21640
25,0.6311957426950829,0.7999073047984111,60.829633952395305,8.2730468621926e-15,5700
26,1.6287758122815157,0.9390718749832125,118.20152642876009,4.95987539847723e-14,200020
27,0.5,0.9504736248624418,60.56891386627013,3.3872272756950438e-15,4360
28,1.5516549593810773,0.7642533124208094,87.45830809861549,4.470643554603199e-16,131640
29,1.4889038571030002,0.6434611234540806,77.14320398325877,4.679842777502044e-15,127120
30,2.0,0.5644593744049983,126.35535932397883,1.7325051369782303e-14,200020
