,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.2956589059984205,0.49522877082600014,92.45482995632581,7.0650899243202825e-15,71481.33333333333
std,8.803408430829505,0.6034353652522975,0.3807862731163124,44.35108313506925,1.2067111727433908e-14,67156.75166885786
min,1.0,0.5,0.001,60.530578901769616,4.15548963669689e-18,4360.0
25%,8.25,0.6457668479869632,0.030441024824358287,61.232412632760614,9.931040934218007e-16,19470.0
50%,15.5,1.4774284151780979,0.507091405670973,70.71308243001454,3.379051111045968e-15,51360.0
75%,22.75,1.853952322274608,0.7928857256324511,113.95896820557849,5.411012432901214e-15,115920.0
max,30.0,2.0,1.0,200.0,4.95987539847723e-14,200020.0
