BWR_data = [
2.0000000000	0.0010000000	80.5744895276
0.5000000000	0.0452876017	61.4372026766
1.1651921140	0.6974136966	66.2752298458
1.7389657062	0.8162015112	118.6287219674
1.3733582532	0.8167858872	77.2805047102
0.7933882617	0.0278688450	61.5178311400
1.2900876851	0.0010000000	63.4647349150
1.5205254388	0.1357013145	67.6611078629
1.0325569006	0.1975569684	62.0695630984
1.8837109004	0.8498313496	176.6673060323
0.5000000000	0.3840160937	61.0993291740
1.2876235197	0.3210500114	65.0430780578
0.5000000000	0.2220136744	61.2590762685
1.4793643220	0.0548034142	66.1224690241
1.3916685461	0.5957514968	71.4070745429
1.8456941066	0.4480974237	91.8986168867
2.0000000000	0.6143551593	137.0441031936
1.7615440311	0.8396344495	128.5384026727
0.5000000000	0.0010000000	61.4804586810
1.2316432950	0.4432771748	65.0568407019
1.3140308405	0.0010000000	63.6885267065
1.7669524362	0.3641430883	81.8103848388
1.9988394852	0.7298809541	175.8436488282
1.4567225149	0.2588030387	67.6954356164
0.7525669492	0.2893277132	61.2874006744
0.9282176697	0.3565324765	61.7137141380
1.7101014082	0.8868097958	126.3170538005
1.8942924933	0.7141112874	133.3290851440
0.7822942301	0.2834920244	61.3265364719
0.8987871930	0.0010000000	61.6467351888
];
