algorithm,best_fitness,mean_fitness,std_fitness,mean_time,success_rate
JAYA,4.15548963669689e-18,7.0650899243202825e-15,1.1864288681907027e-14,1.4173866351445517,100.0
BMR,5.37392877679468e-14,2.5240258078928048e-11,4.297606241796544e-11,1.0881431500116985,100.0
BWR,3.462958086177771e-15,3.034332681199545e-11,6.759465346384025e-11,1.0352022806803385,100.0
