,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.3099376100145288,0.3799248816818664,84.63948874623364,3.034332681199545e-11,39846.666666666664
std,8.803408430829505,0.49642030421796035,0.30677728025507034,34.89045587415818,6.875020133058909e-11,1058.9302778433212
min,1.0,0.5,0.001,61.0993291740491,3.462958086177771e-15,34240.0
25%,8.25,0.9061448121755631,0.07502788930300083,61.66347992608431,1.5231182942091233e-12,40040.0
50%,15.5,1.34369454681355,0.33879124394484295,66.19884943496413,6.334364875690965e-12,40040.0
75%,22.75,1.7558994498360323,0.6766490622889969,89.37655887472219,2.635601445214912e-11,40040.0
max,30.0,2.0,0.8868097958474102,176.66730603229385,3.5779216239839077e-10,40040.0
