,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.3925452866662,0.4584844266414266,86.20526504148935,2.5240258078928048e-11,40020.0
std,8.803408430829505,0.4856099087221407,0.3733558083421125,32.11857859739369,4.371074918242842e-11,0.0
min,1.0,0.5,0.001,60.65749920710157,5.37392877679468e-14,40020.0
25%,8.25,1.0598784752632329,0.030404226651785105,63.07359795106962,1.1119499931746835e-12,40020.0
50%,15.5,1.5557612235250642,0.46590905292709534,69.22283045094778,6.453201297354391e-12,40020.0
75%,22.75,1.73788740466386,0.7271677555074783,106.48897284874866,3.186222753710895e-11,40020.0
max,30.0,2.0,1.0,187.2553999915925,1.789887453605824e-10,40020.0
