run,a,Rs,Rp,fitness,nfes
1,2.0,0.001,80.57448952757396,3.166524326810877e-11,40040
2,0.5,0.045287601669328326,61.43720267662708,8.669786541540216e-12,40040
3,1.1651921140365735,0.6974136966274653,66.27522984577837,2.206122523446889e-14,40040
4,1.7389657061661863,0.816201511194493,118.62872196742487,3.653857792978053e-12,40040
5,1.3733582531504789,0.8167858871568748,77.28050471018605,5.348155672026788e-11,40040
6,0.7933882617348067,0.02786884495882717,61.5178311399723,7.188515458964712e-11,40040
7,1.2900876850872054,0.001,63.46473491497985,1.7196382649798204e-12,40040
8,1.5205254387686127,0.13570131451185838,67.66110786290548,8.038237333187868e-14,40040
9,1.0325569005501116,0.19755696842316592,62.06956309839802,4.297724527426154e-12,40040
10,1.8837109003990624,0.8498313495840799,176.66730603229385,9.606405468829028e-11,40040
11,0.5,0.384016093656971,61.0993291740491,2.615539977084797e-13,40040
12,1.2876235197299617,0.32105001136688927,65.0430780577787,5.411110742471488e-12,40040
13,0.5,0.2220136744494541,61.259076268487355,2.998912697486474e-11,40040
14,1.479364321980824,0.05480341423338165,66.12246902414988,7.898978310641105e-13,40040
15,1.3916685460565918,0.5957514968267672,71.40707454292192,1.0718030904321027e-11,40040
16,1.8456941065905021,0.4480974236568095,91.89861688670409,7.881741299144143e-12,40040
17,2.0,0.6143551592735919,137.04410319359255,1.4056257392766958e-12,40040
18,1.7615440310593142,0.8396344495412412,128.5384026726656,1.2100321806596934e-10,40040
19,0.5,0.001,61.4804586809869,1.641870086035135e-12,40040
20,1.2316432949737561,0.4432771747587484,65.05684070194081,1.5456676884002267e-11,40040
21,1.314030840476621,0.001,63.68852670645361,1.1243022468175216e-11,40040
22,1.7669524361678481,0.3641430883081713,81.81038483877649,3.5779216239839077e-10,40040
23,1.9988394851943543,0.729880954103942,175.84364882823525,7.257619008910441e-12,40040
24,1.4567225149255865,0.25880303871358507,67.69543561643714,4.341776864095463e-11,40040
25,0.7525669491794951,0.2893277132054352,61.287400674437414,1.4687850302085167e-11,40040
26,0.9282176696505389,0.35653247652279657,61.713714138015995,5.289144020529926e-12,40040
27,1.7101014081847228,0.8868097958474102,126.31705380052976,1.4835343636004527e-12,40040
28,1.8942924932934189,0.7141112874442017,133.329085144003,4.256590172055026e-13,40040
29,0.7822942300620613,0.2834920244205034,61.32653647193031,3.462958086177771e-15,34240
30,0.8987871930172379,0.001,61.64673518877374,2.601268665263048e-12,40040
