,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,0.9982233196036873,0.14491900289182488,72.18565862479362,2.552421042114725e-10,38856.0
std,8.803408430829505,0.3287825228247104,0.18050110309855624,40.85260813975186,6.392130867257014e-10,6375.490569360133
min,1.0,0.5,0.001,50.0,6.530819467932485e-15,5100.0
25%,8.25,0.8137075792417752,0.001,50.0,6.767659205081545e-13,40020.0
50%,15.5,1.0272941314794837,0.031606866707262204,50.0,2.0667134701058014e-11,40020.0
75%,22.75,1.2042540260545176,0.20363734370226183,72.47676478037963,1.3645209423757952e-10,40020.0
max,30.0,1.671123208165093,0.4977512907245768,200.0,3.07090489400533e-09,40020.0
