algorithm,best_fitness,mean_fitness,std_fitness,mean_time,success_rate
JAYA,2.679567057683035e-16,4.214660100764946e-11,8.314142608767197e-11,0.7594489653905233,100.0
BMR,6.530819467932485e-15,2.552421042114725e-10,6.284692444609779e-10,2.0913278897603353,100.0
BWR,3.0852661344476716e-15,2.1921143543075277e-10,3.183030805077008e-10,2.0200613180796307,100.0
