,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.2975190733402577,0.07777495225817675,120.92674169246537,4.214660100764946e-11,19502.666666666668
std,8.803408430829505,0.39967734981426606,0.18556383432267703,61.72779739383119,8.456275000355626e-11,2041.748630773232
min,1.0,0.5,0.001,50.0,2.679567057683035e-16,10200.0
25%,8.25,1.0272964715709776,0.001,54.274187743282425,9.971681123265148e-14,20020.0
50%,15.5,1.4164745270173849,0.001,128.99545224977038,5.4948718771437345e-12,20020.0
75%,22.75,1.6427272022355743,0.0066499701112129215,190.33233156580903,3.233257153832287e-11,20020.0
max,30.0,1.6711583841788804,0.6069225509931527,200.0,3.0819022909394357e-10,20020.0
