,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,0.9815320318631324,0.12814471911551054,68.63112618948371,2.1921143543075277e-10,39644.0
std,8.803408430829505,0.26254545628088993,0.17823210888754484,38.8017550514778,3.237445529735227e-10,2168.981327720458
min,1.0,0.5,0.001,50.0,3.0852661344476716e-15,28160.0
25%,8.25,0.9402095439243615,0.001,50.0,1.2609256903837926e-11,40040.0
50%,15.5,1.0272912949017265,0.022086689825745805,50.0,4.17591905808579e-11,40040.0
75%,22.75,1.073230158341091,0.20935249709664627,63.010419555613296,3.1868246513354996e-10,40040.0
max,30.0,1.5396310247205187,0.5954828347073212,183.9524875579316,1.2813658278526068e-09,40040.0
